filegroup_id,test_code,test_side,era,working_mode_label,structure_intrusion_score,lower_extremity_score,restraint_kinematics_score,head_neck_chest_score,ri_100,harshness_proxy_z,seat_response_proxy_z
2705,CEN1604,driver,2015-2017,mode_0,-0.5194809289515725,0.8737439204823684,0.12769666154271314,1.613310999538104,0.48653250647348095,0.15115001280492965,-0.07113928901390405
2706,CEN1610,driver,2015-2017,mode_0,-0.21337409422083148,-0.05207973240417,0.3450335489820313,-0.038777097680195834,0.5489669713089921,1.2682166156408552,-0.018278744128155583
2713,CEN1609,driver,2015-2017,mode_0,0.3582881913454711,-0.27530213131117354,0.4997849197335222,-0.3116161252568275,0.4423745827172576,-0.00585312970338045,0.06062064775255245
2714,CEN1614,driver,2015-2017,mode_0,0.0,-0.10176853881201209,-0.6520106623179546,1.4458533141173764,0.5047163293577713,0.3399435833724628,0.029190718663603274
2717,CEN1611,driver,2015-2017,mode_0,-0.32717703030588097,-0.7244517633926261,-0.4862575651291333,-0.02328550101108177,0.5374996137701442,-0.6396485196715351,-0.20470140760845046
2720,CEN1613,driver,2015-2017,mode_0,1.8632960351865981,1.041777206613477,,0.413608843841168,0.4781679586911889,-0.6646555881183183,0.8008573205671023
2725,CEN1616,driver,2015-2017,mode_0,-0.09386730487708747,-0.14176776743695244,-0.42114642027424753,-0.2589117096053296,0.5344964396232073,-0.13430940433206429,0.2196207959629227
2732,CEN1615,driver,2015-2017,mode_0,-0.38310376955716385,-0.12093192430397559,-0.2934497587315344,0.4264381178937868,0.4778552563339635,0.024490708135647743,0.2610068234857621
2733,CEN1617,driver,2015-2017,mode_0,-0.4251108551139729,-0.5430680775749063,-0.7661799692562788,-0.16978348660712664,0.3827784248761156,-0.5328642813592329,-0.12632152559982796
2734,CEN1618,driver,2015-2017,mode_0,-0.03848006881122759,-0.48396599023289205,-1.0486280015504827,-0.10385829717872995,0.585247306665433,-0.02531519532637924,-0.027549492797476226
2790,CEN1622,driver,2015-2017,mode_0,-0.4130074642322089,-0.463588978518269,0.6520106623179546,0.11316150192432593,0.5012085660998138,-0.27990075414372884,-0.17840451719624972
2791,CEN1619,driver,2015-2017,mode_0,0.25012044727297933,0.05943060314440272,0.7293863476937,1.7935979590114508,0.5315464193257275,0.3849953767180389,-0.1937083669738578
2803,CEN1621,driver,2015-2017,mode_0,0.05772010321684138,0.10998599794978973,0.4224092343577768,-0.3240066536774096,0.5342395455639285,-0.2840200988386587,-0.10025180917995805
2804,CEN1625,driver,2015-2017,mode_0,,-0.5860054263986165,-0.6384833077135657,1.7553300500303288,0.425466977138418,0.10825278881731683,-0.18948879998516371
2820,CEN1624,driver,2015-2017,mode_0,-0.7118812730077104,-0.036168748270196116,-0.8828749043616616,-0.36123321723333945,0.39190100931368527,-0.28031921902727386,0.015611717870890794
2825,CEN1623,driver,2015-2017,mode_0,-0.23131756492524244,-0.5166945414297116,0.11543212102185352,-0.41702495655982347,0.42638519872674346,-0.5286882496701487,-0.20768129403797914
